"Name","Days.Old","Inf.","Position","Nat","Age","Club","Ability","Potential","Transfer.Value","Wage","Min.AP","Min.Fee.Rls","Min.Fee.Rls.to.Foreign.Clubs","Personality","Media.Handling","Media.Description","Expires","Left.Foot","Right.Foot","Av.Rat","Apps","X1v1","Acc","Aer","Agg","Agi","Ant","Bal","Bra","Cmd","Cnt","Cmp","Cro","Dec","Det","Dri","Fin","Fir","Fla","Han","Hea","Jum","Kic","Ldr","Lon","Mar","OtB","Pac","Pas","Pos","Ref","Sta","Str","Tck","Tea","Tec","Thr","TRO","Vis","Wor","UID","Cor","Height","Unnamed..1_level_0","Unnamed..2_level_0","Unnamed..3_level_0","Unnamed..4_level_0","Playing.Time","Playing.Time.1","Playing.Time.2","Performance","Performance.1","Performance.2","Performance.3","Performance.4","Performance.5","Performance.6","Performance.7","Expected","Expected.1","Expected.2","Expected.3","Progression","Progression.1","Progression.2","Per.90.Minutes","Per.90.Minutes.1","Per.90.Minutes.2","Per.90.Minutes.3","Per.90.Minutes.4","Per.90.Minutes.5","Per.90.Minutes.6","Per.90.Minutes.7","Per.90.Minutes.8","Per.90.Minutes.9","Unnamed..33_level_0"
"Leo Østigård","-","","D (C)","NOR",23,"Napoli","Unknown","Unknown","€10.5M - €31M","€128,000 p/m","-","-","-","Ambitious","Outspoken","Powerful centre-back","30/6/2026","Weak","Very Strong","-","-",2,13,3,17,11,13,14,17,1,12,13,8,13,16,7,6,11,10,2,18,13,2,11,6,15,7,14,11,14,2,15,16,15,13,10,3,1,10,17,53122155,6,"184 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leonardo Rossi","-","Loa","ST (C)","ITA",18,"Napoli","Unknown","Unknown","€55K - €170K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young striker","30/6/2024","Weak","Very Strong","-","-",3,12,2,12,11,12,12,13,2,14,10,8,10,13,9,10,8,8,3,11,9,1,8,8,4,13,12,7,8,2,10,7,6,11,9,1,3,7,13,2000018201,4,"177 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lorenzo Cufino","-","Yth","D/WB/M (R)","ITA",16,"Napoli","Unknown","Unknown","€20K - €60K","€1,100 p/m","-","-","-","Balanced","Level-headed","Young full-back","30/6/2026","Reasonable","Very Strong","-","-",3,14,2,7,10,7,3,7,1,4,7,10,11,10,7,3,8,5,3,6,11,1,8,6,8,5,11,6,4,3,13,5,14,6,8,3,1,8,8,2000269029,5,"186 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lorenzo Russo","-","Loa","M/AM (C), ST (C)","ITA",18,"Napoli","Unknown","Unknown","€18K - €55K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young attacking midfielder","30/6/2024","Very Strong","Weak","-","-",1,12,1,8,9,8,6,4,1,6,7,2,11,15,7,13,13,13,3,7,3,3,6,6,5,4,9,13,5,3,10,3,6,6,13,2,3,13,7,2000125378,3,"177 cm","it ITA","MF","18-310","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","Matches"
"Luciano Peluso","-","Loa","DM, M (C)","ITA",18,"Napoli","Unknown","Unknown","€16K - €45K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young midfielder","30/6/2024","Reasonable","Very Strong","-","-",3,12,1,15,10,7,5,6,2,5,4,4,12,9,5,4,11,5,3,4,5,3,2,8,6,5,10,5,8,3,5,5,12,6,7,1,3,8,10,2000135561,3,"183 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lucio Ceci","-","Loa","M (L), AM (LC), ST (C)","ITA",18,"Napoli","Unknown","Unknown","€28K - €85K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young attacking midfielder","30/6/2024","Very Strong","Reasonable","-","-",3,13,3,6,10,9,11,7,1,6,7,7,8,9,14,12,8,6,1,4,7,2,1,7,3,12,11,10,7,1,7,4,7,8,6,3,4,5,12,2000143641,4,"177 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luigi D'Avino","-","Loa","D (C)","ITA",17,"Napoli","Unknown","Unknown","€18K - €55K","€1,100 p/m","-","-","-","Jovial","Unflappable, Media-friendly","Young centre-back","30/6/2025","Weak","Very Strong","-","-",2,9,2,12,12,7,6,8,1,6,3,1,13,5,1,4,6,5,2,13,7,2,10,2,10,1,11,6,13,1,7,8,9,5,1,1,3,4,6,2000098027,4,"184 cm","it ITA","DF","18-077","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","Matches"
"Manuel Legnante","-","Yth","DM, M (C)","ITA",18,"Napoli","Unknown","Unknown","€12K - €35K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young midfielder","30/6/2024","Fairly Strong","Very Strong","-","-",2,12,3,12,9,7,5,6,2,4,6,4,10,12,2,2,13,5,1,4,6,2,9,6,6,5,12,10,10,2,5,4,12,6,12,3,1,7,10,2000162731,4,"178 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mário Rui","-","","D/WB/M (L)","POR",32,"Napoli","Unknown","Unknown","Not for Sale","€324,000 p/m","-","-","-","Spirited","Evasive","Full-back","30/6/2026","Very Strong","Weak","-","-",3,16,1,13,15,14,14,15,2,16,13,16,14,15,11,6,13,12,1,8,6,2,9,11,14,13,15,14,13,2,14,11,15,15,13,2,2,13,16,55027761,13,"170 cm","pt POR","DF","32-272","15","10","830.0","9.2","0.0","1.0","1.0","0.0","0.0","0.0","5.0","0.0","0.1","0.1","1.0","1.2","22.0","67.0","46.0","0.0","0.11","0.11","0.0","0.11","0.02","0.11","0.13","0.02","0.13","Matches"
"Mario Vilardi","-","Wnt","AM (RL), ST (C)","ITA",17,"Napoli","Unknown","Unknown","€40K - €130K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young winger","30/6/2025","Fairly Strong","Very Strong","-","-",2,13,3,9,13,8,6,7,3,4,8,8,10,16,13,13,11,14,3,7,5,2,10,4,5,10,13,9,5,3,8,3,2,6,6,1,3,6,7,2000098045,5,"182 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mathías Olivera","-","","D/WB/M (L)","URU",25,"Napoli","Unknown","Unknown","€10M - €31M","€160,000 p/m","-","-","-","Balanced","Media-friendly","Full-back","30/6/2027","Very Strong","Reasonable","-","-",1,14,2,11,13,14,14,14,3,14,13,14,13,14,12,9,13,12,2,15,13,4,11,10,13,13,14,13,14,1,15,14,16,15,12,1,2,11,16,78076343,11,"184 cm","uy URU","DF","26-115","13","9","785.0","8.7","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0.2","0.2","0.5","0.7","11.0","33.0","54.0","0.0","0.11","0.11","0.0","0.11","0.02","0.06","0.08","0.02","0.08","Matches"
"Matteo Malasomma","-","Yth","M/AM (L)","ITA",17,"Napoli","Unknown","Unknown","€10K - €30K","€1,100 p/m","-","-","-","Balanced","Level-headed","Young winger","30/6/2025","Weak","Very Strong","-","-",2,8,3,7,11,4,6,3,2,6,6,11,9,4,10,12,11,13,1,5,4,1,3,4,1,7,11,13,5,4,10,2,5,7,6,3,1,7,12,2000242800,8,"168 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matteo Parisi","-","Yth","M/AM (C)","ITA",17,"Napoli","Unknown","Unknown","€12K - €40K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young attacking midfielder","30/6/2025","Very Strong","Weak","-","-",2,12,1,8,12,4,4,1,3,1,5,3,8,11,10,12,9,13,3,1,5,2,1,5,4,5,12,12,2,3,5,1,3,4,12,1,2,7,5,2000242793,3,"169 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matteo Politano","-","Wnt","AM (RL)","ITA",29,"Napoli","Unknown","Unknown","€20M","€339,000 p/m","-","-","-","Fairly Professional","Reserved","Winger","30/6/2025","Very Strong","Reasonable","-","-",1,15,3,7,16,14,12,11,3,12,15,15,14,14,14,13,15,14,2,8,7,2,10,16,6,16,15,14,8,3,13,9,7,14,14,3,3,13,14,43093382,16,"171 cm","it ITA","FW","30-204","23","19","1474.0","16.4","6.0","3.0","9.0","4.0","2.0","2.0","2.0","1.0","4.7","3.1","3.5","6.6","77.0","107.0","143.0","0.37","0.18","0.55","0.24","0.43","0.29","0.21","0.5","0.19","0.41","Matches"
"Mattia Esposito","-","Yth","D (C)","ITA",17,"Napoli","Unknown","Unknown","€10K - €35K","€1,100 p/m","-","-","-","Balanced","Level-headed","Young centre-back","30/6/2025","Reasonable","Very Strong","-","-",2,11,1,8,8,2,4,6,2,8,4,1,12,8,1,1,4,5,1,10,10,1,9,3,12,2,10,4,12,2,3,6,9,3,1,2,3,3,3,2000242786,1,"186 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mattia Puzone","-","Yth","D/WB (R)","ITA",16,"Napoli","Unknown","Unknown","€10K - €30K","€1,100 p/m","-","-","-","Determined","Media-friendly","Young full-back","30/6/2026","Reasonable","Very Strong","-","-",2,14,3,12,14,4,6,8,1,4,6,10,9,18,5,1,6,8,1,6,10,3,8,4,6,2,11,7,7,3,9,5,12,6,7,1,4,4,7,2000205865,4,"182 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Natan","-","nEU","D (C)","BRA",22,"Napoli","Unknown","Unknown","€19M - €56M","€117,000 p/m","-","-","-","Balanced","Media-friendly","Centre-back","30/6/2028","Very Strong","Reasonable","-","-",3,13,2,10,13,14,13,14,3,14,14,10,13,13,10,8,13,8,3,14,14,3,8,5,14,10,12,13,14,4,14,14,14,14,12,2,3,12,13,19351985,5,"188 cm","br BRA","DF","23-017","12","10","878.0","9.8","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","0.4","0.4","0.1","0.5","15.0","32.0","9.0","0.0","0.0","0.0","0.0","0.0","0.04","0.01","0.05","0.04","0.05","Matches"
"Nicola Pellino","-","Yth","GK","ITA",18,"Napoli","Unknown","Unknown","€14K - €40K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young goalkeeper","30/6/2024","Fairly Strong","Very Strong","-","-",7,6,8,7,14,6,6,13,4,8,6,3,12,7,2,3,1,3,10,1,14,10,9,1,2,2,11,5,9,13,3,4,3,6,1,7,11,5,5,2000135552,3,"190 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nikita Contini","-","","GK","ITA",27,"Napoli","Unknown","Unknown","€40K - €130K","€46,500 p/m","-","-","-","Balanced","Media-friendly","Goalkeeper","30/6/2024","Weak","Very Strong","-","-",13,10,15,8,12,10,12,12,13,10,8,1,11,13,3,2,7,5,14,3,13,12,7,3,3,5,10,7,12,15,15,11,1,9,8,13,15,8,10,43159621,3,"190 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noah Mutanda","-","Loa","DM, M (C)","GER",18,"Napoli","Unknown","Unknown","€16K - €50K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young midfielder","30/6/2024","Fairly Strong","Very Strong","-","-",2,13,2,5,13,9,6,7,1,2,5,3,10,17,2,3,12,5,4,6,14,3,10,7,5,6,13,9,5,2,5,6,8,6,10,2,2,12,10,2000222222,5,"189 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pasquale Garofalo","-","Yth","M (C)","ITA",16,"Napoli","Unknown","Unknown","€14K - €40K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young midfielder","30/6/2026","Weak","Very Strong","-","-",1,6,2,6,8,5,6,5,1,3,7,4,14,7,6,6,13,5,1,5,8,1,7,7,7,5,8,10,4,2,5,6,9,7,10,3,2,6,10,2000294409,1,"175 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pasquale Stasi","-","Yth","AM (R), ST (C)","ITA",17,"Napoli","Unknown","Unknown","€9K - €26K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young winger","30/6/2025","Reasonable","Very Strong","-","-",1,12,1,7,11,5,5,6,1,5,5,11,6,7,13,10,7,10,1,6,10,1,1,2,2,4,10,5,3,3,6,4,5,5,10,1,3,6,6,2000242668,6,"179 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pierluigi Gollini","-","","GK","ITA",28,"Napoli","Unknown","Unknown","€1M - €3M","€123,000 p/m","-","-","-","Fairly Ambitious","Media-friendly","Goalkeeper","30/6/2024","Weak","Very Strong","-","-",14,12,14,11,13,13,13,15,13,11,13,1,11,14,1,2,10,3,13,10,16,12,13,3,2,3,12,10,14,14,10,15,3,15,9,13,14,8,15,43090278,1,"194 cm","it ITA","GK","28-342","7","7","630.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Matches"
"Piotr Zieliński","-","","M/AM (C)","POL",29,"Napoli","Unknown","Unknown","€25M - €74M","€540,000 p/m","-","€100M","-","Fairly Professional","Level-headed","Cultured midfielder","30/6/2024","Strong","Very Strong","-","-",1,13,4,10,14,15,12,11,1,10,13,15,14,11,12,14,17,15,1,7,9,3,10,15,8,15,14,17,11,2,13,11,8,15,17,3,3,16,12,43093171,14,"180 cm","pl POL","MF","29-279","20","18","1460.0","16.2","2.0","2.0","4.0","1.0","1.0","1.0","1.0","0.0","1.9","1.2","3.1","4.2","30.0","103.0","63.0","0.12","0.12","0.25","0.06","0.18","0.12","0.19","0.31","0.07","0.26","Matches"
"Raffaele Ponticelli","-","Yth","D (C)","ITA",16,"Napoli","Unknown","Unknown","€14K - €40K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young centre-back","30/6/2026","Fairly Strong","Very Strong","-","-",3,11,1,7,8,9,6,7,2,4,6,1,10,4,1,2,6,5,1,14,10,3,2,1,14,4,8,6,8,1,4,7,13,5,2,2,3,4,6,2000269087,3,"180 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvatore Borriello","-","Yth","M/AM (L)","ITA",16,"Napoli","Unknown","Unknown","€14K - €40K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young winger","30/6/2026","Weak","Very Strong","-","-",1,12,1,15,11,5,4,4,4,4,6,10,6,15,10,9,11,12,2,3,11,1,1,4,2,8,12,5,1,2,4,2,4,5,7,3,2,6,9,2000242797,6,"184 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvatore De Crescenzo","-","Yth","D/WB (L)","ITA",17,"Napoli","Unknown","Unknown","€8K - €24K","€1,100 p/m","-","-","-","Balanced","Level-headed","Young full-back","30/6/2025","Very Strong","Reasonable","-","-",4,13,2,11,11,6,3,7,1,5,6,7,12,5,5,5,6,5,2,5,6,1,5,2,7,5,12,7,4,2,6,4,12,6,7,4,3,6,6,2000205862,3,"181 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvatore Longano","-","Yth","DM, M (C)","ITA",16,"Napoli","Unknown","Unknown","€14K - €40K","€1,100 p/m","-","-","-","Fairly Determined","Level-headed","Young midfielder","30/6/2026","Reasonable","Very Strong","-","-",3,6,3,6,11,9,6,6,2,4,6,5,8,16,3,6,12,5,2,5,9,2,6,4,10,6,9,12,6,3,6,4,14,7,9,1,2,7,11,2000268223,4,"171 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sebastiano Lombardo","-","Yth","M (RC)","ITA",16,"Napoli","Unknown","Unknown","€10K - €35K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young attacking midfielder","30/6/2026","Reasonable","Very Strong","-","-",2,12,3,7,12,5,5,5,3,2,3,5,6,16,5,3,13,5,3,2,5,3,5,5,2,4,11,11,4,1,6,1,5,5,11,1,3,6,10,2000270754,4,"165 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stanislav Lobotka","-","","DM, M (C)","SVK",28,"Napoli","Unknown","Unknown","€48M - €143M","€462,000 p/m","-","-","-","Model Citizen","Reserved","Tireless defensive midfielder","30/6/2027","Fairly Strong","Very Strong","-","-",2,13,1,13,15,14,16,15,3,16,17,11,15,15,14,7,17,13,2,6,7,3,10,9,12,10,12,17,14,1,16,10,17,17,17,3,3,14,15,63012964,6,"172 cm","sk SVK","MF","29-090","24","24","2034.0","22.6","0.0","1.0","1.0","0.0","0.0","0.0","3.0","0.0","0.2","0.2","0.8","1.0","20.0","115.0","22.0","0.0","0.04","0.04","0.0","0.04","0.01","0.03","0.04","0.01","0.04","Matches"
"Victor Osimhen","-","nEU","ST (C)","NGA",24,"Napoli","Unknown","Unknown","€50M - €150M","€572,000 p/m","-","€100M","-","Fairly Determined","Media-friendly","Elite striker","30/6/2025","Reasonable","Very Strong","-","-",3,17,1,15,15,15,15,12,1,13,15,7,13,15,13,18,14,14,3,18,16,1,10,12,4,20,19,12,5,3,13,15,7,12,14,1,2,11,13,13158205,4,"185 cm","ng NGA","FW","25-056","13","11","991.0","11.0","7.0","2.0","9.0","5.0","2.0","3.0","4.0","1.0","6.7","4.3","1.7","6.0","19.0","14.0","69.0","0.64","0.18","0.82","0.45","0.64","0.61","0.16","0.76","0.39","0.55","Matches"
"Vittorio Gambardella","-","Yth","D (C)","ITA",17,"Napoli","Unknown","Unknown","€12K - €40K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young centre-back","30/6/2025","Strong","Very Strong","-","-",3,12,3,9,9,10,4,6,2,5,3,1,12,14,1,1,3,5,4,8,9,1,7,3,12,1,10,3,11,2,3,4,9,3,1,1,3,1,4,2000242787,1,"192 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
