Days Old,Inf,Name,Position,Nat,Age,Club,Ability,Potential,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Media Description,Expires,Left Foot,Right Foot,Av Rat,Apps,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,UID,Cor,Height
-,,Noni Madueke,"M (RL), AM (RLC)",ENG,21,Chelsea,Unknown,Unknown,€69M - €208M,"€505,000 p/m",-,-,-,Balanced,Media-friendly,Winger,30/6/2030,Very Strong,Reasonable,-,-,2,15,2,11,15,10,14,14,1,11,15,11,11,12,17,13,15,16,3,11,13,4,5,11,3,12,16,12,5,2,11,14,5,10,15,1,1,8,12,37076092,10,176 cm
-,Wnt,Axel Disasi,D (C),FRA,25,Chelsea,Unknown,Unknown,€22M - €67M,"€379,000 p/m",-,-,-,Fairly Professional,Level-headed,Centre-back,30/6/2029,Reasonable,Very Strong,-,-,2,13,1,13,11,14,14,15,1,14,13,6,14,14,8,6,12,6,2,16,15,1,13,8,15,11,14,12,14,2,16,18,15,13,11,2,2,11,14,48037291,5,190 cm
-,Inj,Benoît Badiashile,D (C),FRA,22,Chelsea,Unknown,Unknown,€46M - €137M,"€606,000 p/m",-,-,-,Resolute,Level-headed,Powerful centre-back,30/6/2030,Very Strong,Weak,-,-,2,14,2,10,11,14,15,15,1,12,16,5,14,15,9,6,13,9,3,17,17,2,11,7,15,6,15,13,14,3,15,16,15,14,12,1,2,11,13,49038942,3,194 cm
-,,Nicolas Jackson,"AM (RLC), ST (C)",SEN,22,Chelsea,Unknown,Unknown,€46M - €139M,"€606,000 p/m",-,-,-,Balanced,Media-friendly,Striker,30/6/2031,Weak,Very Strong,-,-,1,17,2,12,14,12,8,12,2,12,12,9,11,12,16,14,13,13,1,13,12,3,7,11,8,9,17,12,11,3,15,12,9,9,16,2,2,13,12,12087972,8,186 cm
-,Loa,Josh Brooking,"D (RC), WB (R)",ENG,20,Chelsea,Unknown,Unknown,€170K - €500K,"€17,750 p/m",-,-,-,Fairly Determined,Media-friendly,Full-back,30/6/2024,Reasonable,Very Strong,-,-,1,15,1,15,10,10,9,11,3,9,9,10,10,16,7,3,9,5,2,8,7,2,10,3,9,7,14,7,9,1,12,8,14,10,8,1,3,7,12,28124572,9,185 cm
-,,Zain Silcott-Duberry,"WB/M (RL), AM (RLC)",ENG,17,Chelsea,Unknown,Unknown,€450K - €1.3M,"€17,750 p/m",-,-,-,Fairly Determined,Media-friendly,Attacking full back,30/6/2025,Reasonable,Very Strong,-,-,3,14,3,9,9,5,6,8,2,9,7,8,5,16,11,7,6,14,3,4,11,3,2,8,5,5,14,9,5,4,9,5,4,5,9,4,3,8,7,2000108697,7,183 cm
-,Inj,Trevoh Chalobah,"D (RC), DM",ENG,23,Chelsea,Unknown,Unknown,€26M - €77M,"€404,000 p/m",-,-,-,Fairly Sporting,Level-headed,Centre-back,30/6/2028,Fairly Strong,Very Strong,-,-,2,14,3,12,11,14,14,13,1,17,15,11,15,13,10,8,13,12,3,13,15,3,8,9,14,8,15,12,14,1,14,14,15,15,13,2,3,12,15,28103591,6,192 cm
-,,Mykhaylo Mudryk,"M (L), AM (RLC)",UKR,22,Chelsea,Unknown,Unknown,€55M - €165M,"€758,000 p/m",-,-,-,Resolute,Outspoken,Winger,30/6/2030,Reasonable,Very Strong,-,-,4,17,3,6,16,9,12,12,3,11,11,13,11,16,15,12,12,16,1,5,6,2,8,10,7,11,18,13,11,3,12,15,5,11,13,3,3,13,14,71101331,11,175 cm
-,,Michael Golding,"DM, M/AM (C)",ENG,17,Chelsea,Unknown,Unknown,€1.8M - €5.6M,"€7,500 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Weak,Very Strong,-,-,3,13,3,6,8,9,11,7,2,9,12,10,8,13,10,8,12,12,2,6,8,1,7,12,6,7,12,12,7,4,7,7,8,8,14,2,2,12,8,2000184620,13,178 cm
-,,Levi Colwill,D (LC),ENG,20,Chelsea,Unknown,Unknown,€44M - €131M,"€379,000 p/m",-,-,-,Balanced,Media-friendly,Wonderkid,30/6/2029,Very Strong,Reasonable,-,-,3,15,2,10,12,12,15,11,2,12,16,7,14,11,11,5,13,5,3,13,15,3,13,2,13,11,15,14,14,1,14,13,13,12,14,3,3,12,14,28124573,5,187 cm
-,,Noah Hay,D/WB (RL),ENG,17,Chelsea,Unknown,Unknown,€160K - €475K,"€7,500 p/m",-,-,-,Fairly Determined,Level-headed,Young full-back,30/6/2025,Reasonable,Very Strong,-,-,2,13,2,12,6,9,9,14,4,8,8,7,7,17,5,4,8,5,2,8,9,3,4,7,9,6,12,6,7,3,14,10,12,11,7,3,1,5,14,2000184621,5,176 cm
-,,Tyrique George,"M (C), AM (RLC), ST (C)",ENG,17,Chelsea,Unknown,Unknown,€550K - €1.7M,"€12,750 p/m",-,-,-,Balanced,Media-friendly,Young attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,3,14,1,5,8,6,7,8,1,6,8,9,7,12,10,7,8,16,3,4,10,3,3,9,3,7,13,7,5,3,15,6,4,9,10,2,3,9,10,2000184619,9,180 cm
-,,Malo Gusto,"D/WB (R), M (C)",FRA,20,Chelsea,Unknown,Unknown,€22M - €66M,"€505,000 p/m",-,-,-,Balanced,Level-headed,Attacking full back,30/6/2030,Weak,Very Strong,-,-,1,16,3,12,14,12,12,13,1,9,12,14,10,14,10,6,12,12,1,10,10,4,8,9,12,14,16,12,11,3,15,12,13,13,13,1,3,11,15,49056280,6,179 cm
-,,Reece James,"D (RC), WB (R)",ENG,23,Chelsea,Unknown,Unknown,€74M - €221M,"€1,263,000 p/m",-,-,-,Professional,"Evasive, Reserved",Strong full-back,30/6/2028,Reasonable,Very Strong,-,-,3,15,2,16,12,13,19,18,3,14,16,16,16,17,11,12,14,12,1,14,10,2,13,11,13,12,14,12,13,1,14,18,14,15,15,4,1,11,16,28108035,13,179 cm
-,,Leo Castledine,"M (C), AM (RLC), ST (C)",ENG,17,Chelsea,Unknown,Unknown,€8.2M - €24M,"€15,250 p/m",-,-,-,Balanced,Level-headed,Attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,13,3,12,8,11,10,13,2,7,8,10,8,7,9,12,10,7,3,12,11,4,10,13,6,11,12,8,8,1,16,8,10,14,10,1,3,8,15,2000108694,11,179 cm
-,,Ato Ampah,WB/M/AM (RL),ENG,17,Chelsea,Unknown,Unknown,€150K - €450K,"€17,750 p/m",-,-,-,Balanced,Media-friendly,Attacking full back,30/6/2025,Weak,Very Strong,-,-,1,16,1,15,9,5,8,7,2,4,6,7,5,12,11,5,6,15,1,3,9,2,1,4,4,6,14,6,5,3,11,6,6,5,6,4,2,7,8,2000184613,7,175 cm
-,,Đorđe Petrović,GK,SRB,23,Chelsea,Unknown,Unknown,€12M - €37M,"€354,000 p/m",-,-,-,Balanced,Media-friendly,Goalkeeper,30/6/2030,Weak,Very Strong,-,-,12,11,13,12,13,14,13,12,12,13,14,2,13,4,1,3,11,3,13,1,16,13,13,2,3,1,16,11,15,17,13,14,1,13,6,11,10,12,9,62216198,5,194 cm
-,Wnt,Ian Maatsen,"D/WB (L), M (C)",NED,21,Chelsea,Unknown,Unknown,€6.6M - €20M,"€126,000 p/m",-,-,-,Balanced,Level-headed,Full-back,30/6/2025,Very Strong,Fairly Strong,-,-,1,15,2,9,13,11,13,8,3,11,11,13,11,7,13,11,11,12,3,8,6,3,6,11,11,8,15,13,11,2,15,7,11,11,13,3,2,11,14,28121372,11,167 cm
-,,Conor Gallagher,M/AM (C),ENG,23,Chelsea,Unknown,Unknown,€28M - €85M,"€76,000 p/m",-,-,-,Fairly Determined,Level-headed,Tireless midfielder,30/6/2025,Fairly Strong,Very Strong,-,-,4,15,3,17,14,11,11,15,1,14,13,12,14,17,13,14,13,12,2,8,10,1,11,12,9,14,13,13,13,1,18,11,13,15,13,2,1,13,19,28108036,12,182 cm
-,,Reiss Denny,"DM, M/AM (C)",ENG,17,Chelsea,Unknown,Unknown,€160K - €475K,"€17,750 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2026,Very Strong,Weak,-,-,3,13,3,8,12,9,7,9,1,10,10,8,7,7,10,6,10,8,2,4,8,1,4,10,5,7,11,11,6,3,10,7,5,11,12,1,1,12,15,2000184628,11,178 cm
-,Inj,Armando Broja,"AM (RL), ST (C)",ALB,21,Chelsea,Unknown,Unknown,€20M - €61M,"€379,000 p/m",-,-,-,Balanced,Media-friendly,Striker,30/6/2028,Reasonable,Very Strong,-,-,2,16,4,14,12,13,15,11,1,8,14,8,12,12,15,14,12,13,3,12,14,1,11,8,5,14,16,7,6,2,13,14,8,11,13,1,2,9,13,28121369,7,191 cm
-,,Marc Cucurella,"D (LC), WB/M (L)",ESP,24,Chelsea,Unknown,Unknown,€33M - €100M,"€556,000 p/m",-,-,-,Driven,Reserved,Attacking full back,30/6/2028,Very Strong,Weak,-,-,3,16,2,15,15,16,14,14,1,14,15,13,13,18,11,9,14,10,2,6,8,3,13,8,12,15,13,12,12,1,15,12,12,14,14,1,2,14,14,67215284,10,173 cm
-,,Somto Boniface,D/WB (L),ENG,17,Chelsea,Unknown,Unknown,€550K - €1.7M,"€7,500 p/m",-,-,-,Determined,Level-headed,Attacking full back,30/6/2025,Very Strong,Weak,-,-,3,16,3,10,10,8,6,9,3,10,8,10,7,18,7,7,8,9,2,7,6,3,11,9,7,9,15,7,8,2,10,6,9,13,8,2,2,7,14,2000184614,6,178 cm
-,,Lesley Ugochukwu,"DM, M (C)",FRA,19,Chelsea,Unknown,Unknown,€21M - €63M,"€253,000 p/m",-,-,-,Balanced,Level-headed,Midfielder,30/6/2030,Reasonable,Very Strong,-,-,3,11,3,11,12,12,12,12,1,11,12,10,11,11,10,9,13,11,1,12,12,3,6,11,12,11,12,13,12,2,14,15,12,13,11,1,2,12,13,2000006186,10,188 cm
-,,Jamie Cumming,GK,ENG,23,Chelsea,Unknown,Unknown,€2.7M - €8M,"€50,500 p/m",-,-,-,Balanced,Media-friendly,Goalkeeper,30/6/2024,Reasonable,Very Strong,-,-,15,9,13,5,11,13,9,13,12,12,13,3,11,7,2,1,11,3,13,2,11,14,8,3,2,1,10,12,13,16,14,9,2,11,10,12,11,9,11,28108032,3,188 cm
-,Yth,Frankie Runham,"AM (RLC), ST (C)",ENG,16,Chelsea,Unknown,Unknown,€475K - €1.4M,"€1,100 p/m",-,-,-,Balanced,Level-headed,Young attacking midfielder,30/6/2025,Fairly Strong,Very Strong,-,-,1,14,1,12,7,7,9,7,1,6,5,10,6,13,7,12,9,12,3,6,9,2,6,12,1,5,13,7,5,3,8,7,6,6,12,2,2,6,7,2000273473,12,175 cm
-,Loa,Jimi Tauriainen,"DM, M/AM (C)",FIN,19,Chelsea,Unknown,Unknown,€180K - €550K,"€12,750 p/m",-,-,-,Balanced,Media-friendly,Young attacking midfielder,30/6/2024,Very Strong,Reasonable,-,-,3,14,2,7,9,11,10,10,3,9,10,9,8,11,9,10,9,8,3,5,12,1,11,12,6,8,14,8,7,3,9,8,8,8,11,3,3,9,10,2000018180,10,186 cm
-,Loa,Alex Matos,"DM, M (C)",ENG,18,Chelsea,Unknown,Unknown,€2M - €6M,"€25,500 p/m",-,-,-,Balanced,Media-friendly,Midfielder,30/6/2025,Weak,Very Strong,-,-,2,17,1,10,12,11,10,9,1,6,11,10,10,14,12,10,9,9,2,8,9,3,7,8,9,10,16,11,12,4,11,11,9,14,10,3,2,9,15,2000117851,7,176 cm
-,,Ben Chilwell,D/WB (L),ENG,26,Chelsea,Unknown,Unknown,€55M - €164M,"€1,137,000 p/m",-,-,-,Fairly Professional,Level-headed,Full-back,30/6/2027,Very Strong,Fairly Strong,-,-,1,15,1,12,14,14,15,13,3,13,14,15,14,14,15,7,15,11,1,14,13,1,12,7,14,11,15,13,15,1,16,13,13,14,13,3,2,12,16,29128536,13,180 cm
-,,Jimmy-Jay Morgan,"AM (RLC), ST (C)",ENG,17,Chelsea,Unknown,Unknown,€8.2M - €24M,"€25,500 p/m",-,-,-,Fairly Ambitious,Media-friendly,Promising striker,30/6/2026,Weak,Very Strong,-,-,3,14,3,10,10,9,7,10,2,10,10,7,8,13,11,13,9,13,1,5,9,2,9,10,7,8,14,7,8,3,10,9,7,10,10,1,3,10,10,2000188757,7,178 cm
-,Wnt,Alfie Gilchrist,D (C),ENG,19,Chelsea,Unknown,Unknown,€220K - €650K,"€25,500 p/m",-,-,-,Balanced,Level-headed,Young centre-back,30/6/2024,Reasonable,Very Strong,-,-,2,14,1,13,8,10,10,13,1,11,8,7,10,13,4,6,8,3,1,14,10,2,14,3,10,9,13,8,12,1,9,10,11,14,7,3,2,7,14,2000017293,1,183 cm
-,,Enzo Fernández,"DM, M/AM (C)",ARG,22,Chelsea,Unknown,Unknown,€102M - €305M,"€910,000 p/m",-,-,-,Ambitious,Outspoken,Cultured midfielder,30/6/2032,Fairly Strong,Very Strong,-,-,3,12,4,15,14,14,16,13,3,13,14,12,14,15,13,12,15,14,2,7,10,1,12,16,10,17,12,16,13,2,16,13,14,15,16,1,3,17,14,14229525,12,178 cm
-,,Max Merrick,GK,ENG,17,Chelsea,Unknown,Unknown,€130K - €375K,"€12,750 p/m",-,-,-,Balanced,Level-headed,Young goalkeeper,30/6/2025,Weak,Very Strong,-,-,11,13,12,11,9,13,5,10,8,9,10,3,7,12,1,2,4,2,10,2,14,13,3,1,3,2,8,11,10,12,4,8,3,10,6,14,9,9,9,2000184625,4,187 cm
-,,Carney Chukwuemeka,M/AM (C),ENG,19,Chelsea,Unknown,Unknown,€11.5M - €35M,"€505,000 p/m",-,-,-,Fairly Determined,Media-friendly,Midfielder,30/6/2028,Fairly Strong,Very Strong,-,-,3,15,2,10,13,12,12,14,4,10,15,6,12,17,13,11,14,14,1,11,11,2,9,11,8,9,14,13,10,2,13,13,10,9,14,2,3,11,12,28127875,5,187 cm
-,Loa,Akim Djibril,M (C),TOG,17,Cittadella,Unknown,Unknown,€40K - €120K,€950 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,12,3,8,12,6,5,3,1,1,6,3,12,13,1,5,12,10,1,4,2,3,10,11,6,8,12,12,5,2,11,1,5,5,12,2,2,6,10,2000136279,4,168 cm
-,,Federico Giraudo,D/WB/M (L),ITA,24,Cittadella,Unknown,Unknown,€130K - €400K,"€16,750 p/m",-,-,-,Fairly Ambitious,Level-headed,Full-back,30/6/2024,Very Strong,Weak,-,-,2,14,1,15,12,11,13,14,1,9,10,12,11,14,12,6,12,11,4,6,7,2,10,7,11,13,14,9,11,2,13,13,11,15,10,1,1,9,14,43207780,6,182 cm
-,Yth,Francesco Nuti,ST (C),ITA,17,Cittadella,Unknown,Unknown,€8K - €26K,€950 p/m,-,-,-,Balanced,Level-headed,Young striker,30/6/2025,Weak,Very Strong,-,-,1,12,2,11,7,4,4,5,3,2,10,1,3,9,12,9,12,10,1,12,5,3,1,3,3,12,9,4,1,1,10,2,2,3,8,2,1,4,6,2000205917,3,179 cm
-,Loa,Claudio Cassano,"AM (LC), ST (C)",ITA,19,Cittadella,Unknown,Unknown,€350K - €1.1M,"€4,000 p/m",-,-,-,Balanced,Level-headed,Winger,30/6/2026,Weak,Very Strong,-,-,1,14,2,11,14,10,10,10,3,9,10,9,9,8,14,13,12,14,2,7,6,2,5,8,5,11,13,12,4,2,13,9,3,11,13,3,2,12,12,43500069,7,172 cm
-,Yth,Richard Nwoke,D (C),NGA,17,Cittadella,Unknown,Unknown,€10K - €30K,€950 p/m,-,-,-,Fairly Determined,Media-friendly,Young centre-back,30/6/2025,Fairly Strong,Very Strong,-,-,3,8,3,14,10,8,9,8,3,10,6,8,7,17,6,5,8,5,3,10,12,1,3,5,10,8,10,8,7,3,9,7,11,8,7,1,1,8,9,2000211135,5,184 cm
-,Loa,Ahmed Sanogo,AM (R),CIV,18,Cittadella,Unknown,Unknown,€70K - €210K,€950 p/m,-,-,-,Balanced,Media-friendly,Young winger,30/6/2024,Weak,Very Strong,-,-,2,12,1,8,13,10,12,9,1,8,8,9,10,10,12,10,10,7,3,7,9,2,7,4,4,9,13,9,5,3,10,9,5,7,12,1,1,7,7,2000105258,4,175 cm
-,Yth,Federico Demo,"DM, M (C)",ITA,18,Cittadella,Unknown,Unknown,€10K - €28K,€950 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2024,Reasonable,Very Strong,-,-,1,12,1,15,12,7,4,5,2,4,2,1,12,12,2,4,5,5,1,3,12,1,1,9,6,4,12,12,2,2,6,4,12,4,9,2,3,7,6,2000106839,2,189 cm
-,Yth,Thomas Pozzato,"DM, M (C)",ITA,16,Cittadella,Unknown,Unknown,€12K - €35K,€950 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2026,Reasonable,Very Strong,-,-,2,10,4,15,13,4,5,4,1,6,2,4,11,9,5,5,13,5,1,2,10,3,4,3,6,1,13,8,9,1,9,4,11,6,8,1,2,5,11,2000268847,4,188 cm
-,Yth,Riccardo Graziotto,M/AM (C),ITA,17,Cittadella,Unknown,Unknown,€7K - €20K,€950 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Fairly Strong,Very Strong,-,-,3,7,1,9,9,6,6,6,1,5,4,4,11,10,7,9,8,7,1,5,11,2,1,9,5,9,7,6,2,1,12,5,7,7,8,3,2,7,12,2000222318,5,185 cm
-,,Filippo Pittarello,ST (C),ITA,26,Cittadella,Unknown,Unknown,€180K - €550K,"€16,000 p/m",-,-,-,Balanced,Media-friendly,Striker,30/6/2025,Weak,Very Strong,-,-,3,12,3,13,13,11,12,11,3,12,12,8,13,13,11,12,12,9,1,13,13,3,11,10,4,13,12,11,10,1,14,12,8,13,12,1,2,12,11,43160128,7,185 cm
-,Loa,Luca Piras,D/WB/M (R),ITA,19,Cittadella,Unknown,Unknown,€12K - €35K,"€1,300 p/m",-,-,-,Balanced,Media-friendly,Young full-back,30/6/2024,Weak,Very Strong,-,-,3,13,2,12,11,8,7,3,1,6,7,11,10,6,7,4,9,8,3,6,7,2,7,3,8,5,11,8,6,2,11,4,12,7,4,3,2,6,8,2000021401,6,184 cm
-,Yth,Marco De Stefani,"DM, M (C)",ITA,17,Cittadella,Unknown,Unknown,€10K - €28K,€950 p/m,-,-,-,Fairly Determined,Media-friendly,Young midfielder,30/6/2025,Weak,Very Strong,-,-,4,13,1,10,9,3,5,6,2,6,5,4,7,15,4,4,10,5,3,4,10,2,10,6,5,4,9,9,10,3,5,5,11,6,9,4,3,8,10,2000245988,4,182 cm
-,Yth,Marco Gasperini,GK,ITA,17,Cittadella,Unknown,Unknown,€4K - €12K,€950 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2025,Reasonable,Very Strong,-,-,4,10,9,9,13,2,4,8,6,5,4,3,12,10,2,3,1,1,12,1,14,8,1,3,2,3,8,3,5,8,1,4,1,4,1,7,13,3,3,2000222317,3,197 cm
-,Loa,Divine Omoregie,"AM (L), ST (C)",ITA,18,Cittadella,Unknown,Unknown,€7K - €20K,€950 p/m,-,-,-,Balanced,Level-headed,Young striker,30/6/2024,Weak,Very Strong,-,-,1,12,2,7,12,9,11,6,3,6,7,6,10,6,9,10,8,7,4,9,7,3,5,5,4,10,12,7,6,1,10,8,6,5,8,3,4,9,10,2000102274,4,181 cm
-,Yth,Tommaso Ferronato,M/AM (LC),ITA,16,Cittadella,Unknown,Unknown,€8K - €26K,€950 p/m,-,-,-,Balanced,Level-headed,Young winger,30/6/2026,Very Strong,Reasonable,-,-,2,10,3,10,9,5,5,5,3,4,7,9,7,8,10,11,8,8,1,1,8,3,10,6,3,7,11,10,5,1,8,3,6,6,7,2,2,7,11,2000222315,4,176 cm
-,Loa,Andrea Orlando,M (LC),ITA,18,Cittadella,Unknown,Unknown,€12K - €35K,€950 p/m,-,-,-,Fairly Ambitious,Level-headed,Young midfielder,30/6/2024,Very Strong,Reasonable,-,-,2,6,1,9,11,11,4,3,1,6,9,10,11,5,7,5,12,5,3,7,7,1,8,9,8,8,9,10,7,3,8,6,6,9,12,1,3,6,13,2000104661,8,174 cm
-,Yth,Lorenzo Pellizzari,"AM (C), ST (C)",ITA,16,Cittadella,Unknown,Unknown,€5K - €16K,€950 p/m,-,-,-,Fairly Determined,Media-friendly,Young attacking midfielder,30/6/2026,Weak,Very Strong,-,-,3,9,1,9,12,6,6,6,1,4,7,5,13,15,7,10,9,11,1,9,10,3,3,7,2,7,12,8,6,1,5,4,1,6,12,3,2,9,3,2000268848,4,182 cm
-,Yth,Alessio Pellegrini,D (C),ITA,17,Cittadella,Unknown,Unknown,€7K - €20K,€950 p/m,-,-,-,Balanced,Level-headed,Young centre-back,30/6/2025,Weak,Very Strong,-,-,3,8,1,13,11,7,5,7,1,4,5,1,12,13,1,1,2,5,1,8,10,3,5,2,10,1,10,5,13,3,4,3,11,4,4,3,3,4,5,2000222328,1,182 cm
-,Loa,Leonardo Gallesio,D (C),ITA,18,Cittadella,Unknown,Unknown,€9K - €26K,€950 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2024,Weak,Very Strong,-,-,3,11,2,6,7,11,10,9,3,9,13,4,6,13,6,3,9,6,1,11,13,3,10,8,10,7,9,10,9,3,9,6,16,9,4,3,3,7,10,2000124349,7,182 cm
-,Lst,Valerio Mastrantonio,"DM, M (C)",ITA,24,Cittadella,Unknown,Unknown,€120K,"€9,500 p/m",-,-,-,Balanced,Level-headed,Midfielder,30/6/2026,Very Strong,Reasonable,-,-,3,11,1,10,12,11,11,10,3,12,10,9,13,12,10,8,12,6,1,10,10,1,9,11,8,10,12,11,10,3,13,11,11,15,11,1,3,11,15,43318589,7,180 cm
-,,Lorenzo Carissoni,"D (RC), WB (R)",ITA,26,Cittadella,Unknown,Unknown,€150K - €450K,"€16,000 p/m",-,-,-,Balanced,Media-friendly,Full-back,30/6/2025,Weak,Very Strong,-,-,4,13,2,10,12,12,11,10,3,12,11,13,12,11,10,8,9,7,1,8,10,1,8,7,11,12,12,11,12,3,14,11,12,11,10,3,3,10,13,43215187,8,177 cm
-,Yth,Filippo Giuriatto,D (C),ITA,15,Cittadella,Unknown,Unknown,€8K - €26K,€950 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2027,Strong,Very Strong,-,-,3,9,3,15,8,9,5,7,3,3,3,1,13,11,1,1,5,5,3,6,12,3,1,1,8,2,6,5,9,2,3,5,13,4,3,1,1,1,5,2000268852,2,192 cm
-,Loa,Filippo Veneran,GK,ITA,18,Cittadella,Unknown,Unknown,€50K - €140K,€950 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2024,Reasonable,Very Strong,-,-,9,10,11,9,9,5,1,14,9,9,5,2,11,8,3,2,1,1,12,1,15,11,2,2,2,2,9,12,4,12,2,5,2,5,1,4,6,4,4,2000098396,2,193 cm
-,,Nicola Pavan,"DM, M (C)",ITA,30,Cittadella,Unknown,Unknown,€425K - €1.3M,"€34,000 p/m",-,-,-,Balanced,Level-headed,Defensive midfielder,30/6/2024,Weak,Very Strong,-,-,2,12,3,13,13,12,12,10,2,11,10,10,12,11,10,8,13,10,3,11,12,1,10,12,11,13,12,13,12,1,14,12,13,12,13,2,4,14,12,43093376,10,184 cm
-,Wnt,Andrea Danzi,"DM, M (C)",ITA,24,Cittadella,Unknown,Unknown,€90K - €275K,"€18,500 p/m",-,-,-,Balanced,Media-friendly,Defensive midfielder,30/6/2024,Very Strong,Reasonable,-,-,1,12,3,11,12,13,11,12,3,12,12,11,11,13,11,11,11,10,1,8,10,3,9,10,10,12,12,10,14,1,13,10,10,13,10,3,3,12,12,43266764,11,177 cm
-,Yth,Carmelo Forti,"DM, M (C)",ITA,16,Cittadella,Unknown,Unknown,€9K - €26K,€950 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2026,Fairly Strong,Very Strong,-,-,4,9,2,10,9,5,6,5,3,3,7,3,4,5,3,5,8,5,2,5,7,4,9,11,7,4,9,12,5,1,7,4,13,7,9,3,1,12,11,2000222316,3,179 cm
-,,Luca Pandolfi,"AM (RL), ST (C)",ITA,25,Cittadella,Unknown,Unknown,€60K - €180K,"€10,500 p/m",-,-,-,Balanced,Media-friendly,Striker,30/6/2025,Reasonable,Very Strong,-,-,2,12,2,8,12,13,11,12,3,8,11,9,12,11,11,12,9,10,2,11,13,1,8,12,4,13,12,10,5,3,13,12,8,10,11,1,2,10,11,43215649,6,186 cm
-,,Luca Maniero,GK,ITA,28,Cittadella,Unknown,Unknown,€24K - €70K,"€7,000 p/m",-,-,-,Balanced,Level-headed,Goalkeeper,30/6/2024,Weak,Very Strong,-,-,11,12,11,11,13,10,12,10,11,10,11,1,12,8,3,1,10,5,10,7,14,11,9,1,1,5,12,9,11,10,13,13,1,11,8,12,11,7,11,43086991,4,187 cm
-,Yth,Nicolò Dal Lago,GK,ITA,18,Cittadella,Unknown,Unknown,€12K - €35K,€950 p/m,-,-,-,Fairly Determined,Media-friendly,Young goalkeeper,30/6/2024,Weak,Very Strong,-,-,7,9,10,12,10,9,6,13,7,9,4,3,9,16,3,1,2,2,13,1,13,13,10,1,1,1,9,8,6,13,3,5,2,6,5,8,6,5,5,2000186694,2,194 cm
-,,Tommy Maistrello,ST (C),ITA,30,Cittadella,Unknown,Unknown,€140K - €425K,"€14,000 p/m",-,-,-,Resolute,Reserved,Striker,30/6/2025,Very Strong,Weak,-,-,3,11,3,8,12,11,12,13,1,13,12,9,12,15,10,13,9,10,3,14,15,3,10,9,3,13,12,10,7,3,13,16,6,11,10,1,1,11,11,43091141,6,193 cm
-,Yth,Cristian Zampieri,M (C),ITA,17,Cittadella,Unknown,Unknown,€12K - €35K,€950 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2025,Weak,Very Strong,-,-,3,13,1,11,8,8,5,5,2,6,2,1,12,6,5,5,12,5,3,3,14,3,7,6,6,4,9,13,5,2,7,5,4,6,10,3,4,11,11,2000292881,3,191 cm
-,Yth,Tommaso Marinello,M (RC),ITA,16,Cittadella,Unknown,Unknown,€8K - €26K,€950 p/m,-,-,-,Fairly Determined,Media-friendly,Young midfielder,30/6/2026,Reasonable,Very Strong,-,-,1,11,3,10,11,4,6,5,2,4,5,7,10,15,7,6,9,5,1,4,6,3,11,7,6,5,10,7,2,2,6,4,8,7,14,3,2,10,11,2000222327,4,180 cm
-,,Andrea Magrassi,ST (C),ITA,30,Cittadella,Unknown,Unknown,€150K - €450K,"€15,000 p/m",-,-,-,Fairly Determined,Media-friendly,Nomadic striker,30/6/2025,Weak,Very Strong,-,-,1,11,3,12,11,13,14,12,3,13,12,6,10,15,10,13,9,7,1,14,15,1,11,10,5,11,11,13,12,2,14,15,11,15,10,1,3,11,14,43067878,4,194 cm
-,,Edoardo Sottini,D (C),ITA,20,Cittadella,Unknown,Unknown,€100K - €300K,"€3,400 p/m",-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Very Strong,Weak,-,-,1,10,2,10,11,11,10,10,2,11,11,9,11,8,7,5,11,9,1,11,11,2,9,6,12,8,10,10,13,1,12,11,12,10,9,1,1,9,10,43425955,5,191 cm
